,adress,Latitude,Longitude,
,"обл. Псковская, г. Псков, ул. Бастионная, д. 13",57.8074415,28.3538399,1990
,"обл. Псковская, г. Псков, ул. Бастионная, д. 13/22",57.80751000000001,28.3546449,1958
,"обл. Псковская, г. Псков, ул. Бастионная, д. 13А",57.80695049999999,28.354147,1989
,"обл. Псковская, г. Псков, ул. Бастионная, д. 15",57.806208,28.3567615,1976
,"обл. Псковская, г. Псков, ул. Бастионная, д. 17",57.8065799,28.3571543,1987
,"обл. Псковская, г. Псков, ул. Бастионная, д. 19",57.80612360000001,28.3576601,1968
,"обл. Псковская, г. Псков, ул. Бастионная, д. 21",57.80597679999999,28.3583563,1971
,"обл. Псковская, г. Псков, ул. Бастионная, д. 23",57.8058043,28.3589614,1971
,"обл. Псковская, г. Псков, ул. Бастионная, д. 25",57.80594360000001,28.3599012,1694
,"обл. Псковская, г. Псков, ул. Бастионная, д. 27",57.8054826,28.3595458,1977
,"обл. Псковская, г. Псков, ул. Белинского, д. 78а",57.8291595,28.3492372,1975
,"обл. Псковская, г. Псков, ул. Белинского, д. 80",57.830243,28.3508289,1987
,"обл. Псковская, г. Псков, ул. Белинского, д. 85",57.8311085,28.3434621,1974
,"обл. Псковская, г. Псков, ул. Белинского, д. 85А",57.8314015,28.3432208,1976
,"обл. Псковская, г. Псков, ст. Березки, д. 2",57.8120288,28.381455,1944
,"обл. Псковская, г. Псков, ст. Березки, д. 3",57.8123687,28.3840765,1952
,"обл. Псковская, г. Псков, ст. Березки, д. 4",57.8119039,28.3818334,1952
,"обл. Псковская, г. Псков, ст. Березки, д. 7",57.81218680000001,28.3829255,1955
,"обл. Псковская, г. Псков, ст. Березки, д. 9",57.81218680000001,28.3829255,1958
,"обл. Псковская, г. Псков, ул. Боровая, д. 7",57.7532588,28.4050077,1945
,"обл. Псковская, г. Псков, ул. Боровая, д. 9а",57.7533249,28.406149,1953
,"обл. Псковская, г. Псков, ул. Боровая, д. 16",57.75444479999999,28.4054042,1954
,"обл. Псковская, г. Псков, ул. Боровая, д. 18",57.7545642,28.4060621,1994
,"обл. Псковская, г. Псков, ул. Боровая, д. 19",57.75552629999999,28.4081005,1967
,"обл. Псковская, г. Псков, ул. Боровая, д. 20",57.7548873,28.4063914,1952
,"обл. Псковская, г. Псков, ул. Боровая, д. 21",57.75577149999999,28.4088978,1967
,"обл. Псковская, г. Псков, ул. Боровая, д. 22",57.75523339999999,28.4068731,1952
,"обл. Псковская, г. Псков, ул. Боровая, д. 23",57.7560075,28.4096369,1967
,"обл. Псковская, г. Псков, ул. Боровая, д. 27",57.7564395,28.4110738,1956
,"обл. Псковская, г. Псков, ул. Боровая, д. 31",57.757466,28.4124267,1951
,"обл. Псковская, г. Псков, ул. Боровая, д. 34",57.7564699,28.4093149,1949
,"обл. Псковская, г. Псков, ул. Боровая, д. 36",57.75665129999999,28.4099226,1949
,"обл. Псковская, г. Псков, ул. Боровая, д. 38",57.75685439999999,28.4105086,1949
,"обл. Псковская, г. Псков, ул. Боровая, д. 40-а",57.757394,28.4110155,1978
,"обл. Псковская, г. Псков, ул. Боровая, д. 42",57.7582486,28.4118104,1975
,"обл. Псковская, г. Псков, ул. Боровая, д. 44",57.7586594,28.4118124,1975
,"обл. Псковская, г. Псков, ул. Воеводы Шуйского, д. 4",57.8087147,28.3328317,1951
,"обл. Псковская, г. Псков, ул. Воеводы Шуйского, д. 8",57.80699069999999,28.3333385,1960
,"обл. Псковская, г. Псков, ул. Воеводы Шуйского, д. 8А",57.8081839,28.3330537,1969
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 27",57.8166994,28.3344734,1939
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 28",57.8166994,28.3344734,1939
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 29",57.8166994,28.3344734,1939
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 31",57.8166994,28.3344734,1940
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 50",57.8166994,28.3344734,1951
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 63",57.8166994,28.3344734,1953
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 64",57.8166994,28.3344734,1954
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 66",57.8166994,28.3344734,1957
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 72",57.8166994,28.3344734,1957
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 76",57.8166994,28.3344734,1958
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 77",57.8166994,28.3344734,1958
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 83",57.8166994,28.3344734,1958
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 84",57.8166994,28.3344734,1958
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 91",57.8166994,28.3344734,1964
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 96",57.8166994,28.3344734,1966
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 98",57.8166994,28.3344734,1966
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 102",57.8166994,28.3344734,1969
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 103",57.8166994,28.3344734,1972
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 107",57.8166994,28.3344734,1975
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 115",57.8166994,28.3344734,1980
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 119",57.8166994,28.3344734,1993
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 120",57.8166994,28.3344734,1994
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 120А",57.8166994,28.3344734,1999
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 121",57.8166994,28.3344734,1997
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 121А",57.8166994,28.3344734,1998
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 122",57.8166994,28.3344734,1997
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 123",57.8166994,28.3344734,1997
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 123А",57.8166994,28.3344734,1998
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 124",57.8166994,28.3344734,1994
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 125",57.8166994,28.3344734,1997
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 125А",57.8166994,28.3344734,1998
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 126",57.8166994,28.3344734,1997
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 127",57.8166994,28.3344734,1998
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 127А",57.8166994,28.3344734,1998
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 128",57.8166994,28.3344734,1998
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 129",57.8166994,28.3344734,1998
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 130",57.8166994,28.3344734,1998
